HITId,WorkerId,Image_1,Image_2,Similarity_Rating
31D0ZWOD0AZAQZHFT6W6LROZREXA0O,A1RCVIJAS2Z3GC,https://isabellalv.pythonanywhere.com/mturkImages_sil/tp_pos0001.png,https://isabellalv.pythonanywhere.com/mturkImages_sil/tp_pos0002.png,6 - somewhat similar
31D0ZWOD0AZAQZHFT6W6LROZREXA0O,A1WY3YGT618GC0,https://isabellalv.pythonanywhere.com/mturkImages_sil/tp_pos0001.png,https://isabellalv.pythonanywhere.com/mturkImages_sil/tp_pos0002.png,7 - mostly similar
31D0ZWOD0AZAQZHFT6W6LROZREXA0O,A1YSYI926BBOHW,https://isabellalv.pythonanywhere.com/mturkImages_sil/tp_pos0001.png,https://isabellalv.pythonanywhere.com/mturkImages_sil/tp_pos0002.png,7 - mostly similar
31D0ZWOD0AZAQZHFT6W6LROZREXA0O,A1ZNF81S5LQ6A3,https://isabellalv.pythonanywhere.com/mturkImages_sil/tp_pos0001.png,https://isabellalv.pythonanywhere.com/mturkImages_sil/tp_pos0002.png,9 - extremely similar
31D0ZWOD0AZAQZHFT6W6LROZREXA0O,A28AXX4NCWPH1F,https://isabellalv.pythonanywhere.com/mturkImages_sil/tp_pos0001.png,https://isabellalv.pythonanywhere.com/mturkImages_sil/tp_pos0002.png,7 - mostly similar
31D0ZWOD0AZAQZHFT6W6LROZREXA0O,A2MKIXI9X3HJF4,https://isabellalv.pythonanywhere.com/mturkImages_sil/tp_pos0001.png,https://isabellalv.pythonanywhere.com/mturkImages_sil/tp_pos0002.png,8 - very similar
31D0ZWOD0AZAQZHFT6W6LROZREXA0O,A31WOXRP672UKZ,https://isabellalv.pythonanywhere.com/mturkImages_sil/tp_pos0001.png,https://isabellalv.pythonanywhere.com/mturkImages_sil/tp_pos0002.png,3 - mostly different
31D0ZWOD0AZAQZHFT6W6LROZREXA0O,A80WPJSYIU9LT,https://isabellalv.pythonanywhere.com/mturkImages_sil/tp_pos0001.png,https://isabellalv.pythonanywhere.com/mturkImages_sil/tp_pos0002.png,6 - somewhat similar
31D0ZWOD0AZAQZHFT6W6LROZREXA0O,ATJ92FYQX176Z,https://isabellalv.pythonanywhere.com/mturkImages_sil/tp_pos0001.png,https://isabellalv.pythonanywhere.com/mturkImages_sil/tp_pos0002.png,8 - very similar
3MJ28H2Y1E8YNAXH0V703H4VX3C5O3,A1GWEENWSTM5Z,https://isabellalv.pythonanywhere.com/mturkImages_sil/ca_pos0002.png,https://isabellalv.pythonanywhere.com/mturkImages_sil/ca_pos0003.png,5 - neither different nor similar
3MJ28H2Y1E8YNAXH0V703H4VX3C5O3,A1UET5TMTVSOC1,https://isabellalv.pythonanywhere.com/mturkImages_sil/ca_pos0002.png,https://isabellalv.pythonanywhere.com/mturkImages_sil/ca_pos0003.png,5 - neither different nor similar
3MJ28H2Y1E8YNAXH0V703H4VX3C5O3,A1WY3YGT618GC0,https://isabellalv.pythonanywhere.com/mturkImages_sil/ca_pos0002.png,https://isabellalv.pythonanywhere.com/mturkImages_sil/ca_pos0003.png,7 - mostly similar
3MJ28H2Y1E8YNAXH0V703H4VX3C5O3,A1Y5WECM370QXW,https://isabellalv.pythonanywhere.com/mturkImages_sil/ca_pos0002.png,https://isabellalv.pythonanywhere.com/mturkImages_sil/ca_pos0003.png,5 - neither different nor similar
3MJ28H2Y1E8YNAXH0V703H4VX3C5O3,A1YSYI926BBOHW,https://isabellalv.pythonanywhere.com/mturkImages_sil/ca_pos0002.png,https://isabellalv.pythonanywhere.com/mturkImages_sil/ca_pos0003.png,7 - mostly similar
3MJ28H2Y1E8YNAXH0V703H4VX3C5O3,A1ZNF81S5LQ6A3,https://isabellalv.pythonanywhere.com/mturkImages_sil/ca_pos0002.png,https://isabellalv.pythonanywhere.com/mturkImages_sil/ca_pos0003.png,7 - mostly similar
3MJ28H2Y1E8YNAXH0V703H4VX3C5O3,A31WOXRP672UKZ,https://isabellalv.pythonanywhere.com/mturkImages_sil/ca_pos0002.png,https://isabellalv.pythonanywhere.com/mturkImages_sil/ca_pos0003.png,3 - mostly different
3MJ28H2Y1E8YNAXH0V703H4VX3C5O3,A3F51C49T9A34D,https://isabellalv.pythonanywhere.com/mturkImages_sil/ca_pos0002.png,https://isabellalv.pythonanywhere.com/mturkImages_sil/ca_pos0003.png,7 - mostly similar
3MJ28H2Y1E8YNAXH0V703H4VX3C5O3,ABZF0LWDMH43D,https://isabellalv.pythonanywhere.com/mturkImages_sil/ca_pos0002.png,https://isabellalv.pythonanywhere.com/mturkImages_sil/ca_pos0003.png,4 - somewhat different
3EPG8DX9LKQG8A9IFVKFSH9L7885PK,A1OYKOGC8W3EO5,https://isabellalv.pythonanywhere.com/mturkImages_sil/cb_pos0003.png,https://isabellalv.pythonanywhere.com/mturkImages_sil/cb_pos0004.png,7 - mostly similar
3EPG8DX9LKQG8A9IFVKFSH9L7885PK,A1TREN23A21R5Z,https://isabellalv.pythonanywhere.com/mturkImages_sil/cb_pos0003.png,https://isabellalv.pythonanywhere.com/mturkImages_sil/cb_pos0004.png,6 - somewhat similar
3EPG8DX9LKQG8A9IFVKFSH9L7885PK,A1WY3YGT618GC0,https://isabellalv.pythonanywhere.com/mturkImages_sil/cb_pos0003.png,https://isabellalv.pythonanywhere.com/mturkImages_sil/cb_pos0004.png,6 - somewhat similar
3EPG8DX9LKQG8A9IFVKFSH9L7885PK,A1Y5WECM370QXW,https://isabellalv.pythonanywhere.com/mturkImages_sil/cb_pos0003.png,https://isabellalv.pythonanywhere.com/mturkImages_sil/cb_pos0004.png,5 - neither different nor similar
3EPG8DX9LKQG8A9IFVKFSH9L7885PK,A1YSYI926BBOHW,https://isabellalv.pythonanywhere.com/mturkImages_sil/cb_pos0003.png,https://isabellalv.pythonanywhere.com/mturkImages_sil/cb_pos0004.png,4 - somewhat different
3EPG8DX9LKQG8A9IFVKFSH9L7885PK,A1ZNF81S5LQ6A3,https://isabellalv.pythonanywhere.com/mturkImages_sil/cb_pos0003.png,https://isabellalv.pythonanywhere.com/mturkImages_sil/cb_pos0004.png,7 - mostly similar
3EPG8DX9LKQG8A9IFVKFSH9L7885PK,A28AXX4NCWPH1F,https://isabellalv.pythonanywhere.com/mturkImages_sil/cb_pos0003.png,https://isabellalv.pythonanywhere.com/mturkImages_sil/cb_pos0004.png,6 - somewhat similar
3EPG8DX9LKQG8A9IFVKFSH9L7885PK,A31WOXRP672UKZ,https://isabellalv.pythonanywhere.com/mturkImages_sil/cb_pos0003.png,https://isabellalv.pythonanywhere.com/mturkImages_sil/cb_pos0004.png,7 - mostly similar
3EPG8DX9LKQG8A9IFVKFSH9L7885PK,AX8YWKJK9XQH,https://isabellalv.pythonanywhere.com/mturkImages_sil/cb_pos0003.png,https://isabellalv.pythonanywhere.com/mturkImages_sil/cb_pos0004.png,6 - somewhat similar
3EKZL9T8Y8M9UEK9BSZIXED4DYKCHU,A157L6Z8QU3SDE,https://isabellalv.pythonanywhere.com/mturkImages_sil/gr_pos0004.png,https://isabellalv.pythonanywhere.com/mturkImages_sil/gr_pos0005.png,8 - very similar
3EKZL9T8Y8M9UEK9BSZIXED4DYKCHU,A1GWEENWSTM5Z,https://isabellalv.pythonanywhere.com/mturkImages_sil/gr_pos0004.png,https://isabellalv.pythonanywhere.com/mturkImages_sil/gr_pos0005.png,6 - somewhat similar
3EKZL9T8Y8M9UEK9BSZIXED4DYKCHU,A1OYKOGC8W3EO5,https://isabellalv.pythonanywhere.com/mturkImages_sil/gr_pos0004.png,https://isabellalv.pythonanywhere.com/mturkImages_sil/gr_pos0005.png,7 - mostly similar
3EKZL9T8Y8M9UEK9BSZIXED4DYKCHU,A1WY3YGT618GC0,https://isabellalv.pythonanywhere.com/mturkImages_sil/gr_pos0004.png,https://isabellalv.pythonanywhere.com/mturkImages_sil/gr_pos0005.png,2 - very different
