HITTypeId,WorkerId,Image_1,Image_2,Similarity_Rating
36G9MO4VB6XPXIOV6LK575FVREWA35,A1G94QON7A9K0N,https://isabellalv.pythonanywhere.com/mturkImages/series0000_pos0005_class3_class8.png,https://isabellalv.pythonanywhere.com/mturkImages/series0000_pos0006_class3_class8.png,9 - extremely similar
36G9MO4VB6XPXIOV6LK575FVREWA35,A2RWLFIP23FZA7,https://isabellalv.pythonanywhere.com/mturkImages/series0000_pos0005_class3_class8.png,https://isabellalv.pythonanywhere.com/mturkImages/series0000_pos0006_class3_class8.png,8 - very similar
36G9MO4VB6XPXIOV6LK575FVREWA35,A3DG8M8G0L4DNZ,https://isabellalv.pythonanywhere.com/mturkImages/series0000_pos0005_class3_class8.png,https://isabellalv.pythonanywhere.com/mturkImages/series0000_pos0006_class3_class8.png,8 - very similar
36G9MO4VB6XPXIOV6LK575FVREWA35,A3JSU33XSO5VQ0,https://isabellalv.pythonanywhere.com/mturkImages/series0000_pos0005_class3_class8.png,https://isabellalv.pythonanywhere.com/mturkImages/series0000_pos0006_class3_class8.png,9 - extremely similar
36G9MO4VB6XPXIOV6LK575FVREWA35,A3Q46RW67WXT1C,https://isabellalv.pythonanywhere.com/mturkImages/series0000_pos0005_class3_class8.png,https://isabellalv.pythonanywhere.com/mturkImages/series0000_pos0006_class3_class8.png,6 - somewhat similar
36G9MO4VB6XPXIOV6LK575FVREWA35,A3T9WZOUQGE2UW,https://isabellalv.pythonanywhere.com/mturkImages/series0000_pos0005_class3_class8.png,https://isabellalv.pythonanywhere.com/mturkImages/series0000_pos0006_class3_class8.png,7 - mostly similar
36G9MO4VB6XPXIOV6LK575FVREWA35,AD1ILDUXZHASF,https://isabellalv.pythonanywhere.com/mturkImages/series0000_pos0005_class3_class8.png,https://isabellalv.pythonanywhere.com/mturkImages/series0000_pos0006_class3_class8.png,9 - extremely similar
36G9MO4VB6XPXIOV6LK575FVREWA35,ARW1TCHCLEK1W,https://isabellalv.pythonanywhere.com/mturkImages/series0000_pos0005_class3_class8.png,https://isabellalv.pythonanywhere.com/mturkImages/series0000_pos0006_class3_class8.png,8 - very similar
36G9MO4VB6XPXIOV6LK575FVREWA35,AYGHAD8XI63Q2,https://isabellalv.pythonanywhere.com/mturkImages/series0000_pos0005_class3_class8.png,https://isabellalv.pythonanywhere.com/mturkImages/series0000_pos0006_class3_class8.png,7 - mostly similar
36G9MO4VB6XPXIOV6LK575FVREWA35,A1OQPLI40IBI5B,https://isabellalv.pythonanywhere.com/mturkImages/series0000_pos0008_class0_class6.png,https://isabellalv.pythonanywhere.com/mturkImages/series0000_pos0009_class0_class6.png,5 - neither different nor similar
36G9MO4VB6XPXIOV6LK575FVREWA35,A1WRINBMKV7CP6,https://isabellalv.pythonanywhere.com/mturkImages/series0000_pos0008_class0_class6.png,https://isabellalv.pythonanywhere.com/mturkImages/series0000_pos0009_class0_class6.png,7 - mostly similar
36G9MO4VB6XPXIOV6LK575FVREWA35,A24MSKGI751CE6,https://isabellalv.pythonanywhere.com/mturkImages/series0000_pos0008_class0_class6.png,https://isabellalv.pythonanywhere.com/mturkImages/series0000_pos0009_class0_class6.png,9 - extremely similar
36G9MO4VB6XPXIOV6LK575FVREWA35,A2YVQKJX3FO6P,https://isabellalv.pythonanywhere.com/mturkImages/series0000_pos0008_class0_class6.png,https://isabellalv.pythonanywhere.com/mturkImages/series0000_pos0009_class0_class6.png,6 - somewhat similar
36G9MO4VB6XPXIOV6LK575FVREWA35,A35CL66BEUSJ5Z,https://isabellalv.pythonanywhere.com/mturkImages/series0000_pos0008_class0_class6.png,https://isabellalv.pythonanywhere.com/mturkImages/series0000_pos0009_class0_class6.png,7 - mostly similar
36G9MO4VB6XPXIOV6LK575FVREWA35,A3N699DL7PVFME,https://isabellalv.pythonanywhere.com/mturkImages/series0000_pos0008_class0_class6.png,https://isabellalv.pythonanywhere.com/mturkImages/series0000_pos0009_class0_class6.png,9 - extremely similar
36G9MO4VB6XPXIOV6LK575FVREWA35,AOMKIN1W9AS6A,https://isabellalv.pythonanywhere.com/mturkImages/series0000_pos0008_class0_class6.png,https://isabellalv.pythonanywhere.com/mturkImages/series0000_pos0009_class0_class6.png,8 - very similar
36G9MO4VB6XPXIOV6LK575FVREWA35,ARJ4HIRCZTYFT,https://isabellalv.pythonanywhere.com/mturkImages/series0000_pos0008_class0_class6.png,https://isabellalv.pythonanywhere.com/mturkImages/series0000_pos0009_class0_class6.png,7 - mostly similar
36G9MO4VB6XPXIOV6LK575FVREWA35,ATZTNQDBCYYQA,https://isabellalv.pythonanywhere.com/mturkImages/series0000_pos0008_class0_class6.png,https://isabellalv.pythonanywhere.com/mturkImages/series0000_pos0009_class0_class6.png,9 - extremely similar
36G9MO4VB6XPXIOV6LK575FVREWA35,A1L268X6LD61RP,https://isabellalv.pythonanywhere.com/mturkImages/series0003_pos0001_class7_class4.png,https://isabellalv.pythonanywhere.com/mturkImages/series0003_pos0002_class7_class4.png,7 - mostly similar
36G9MO4VB6XPXIOV6LK575FVREWA35,A2UJMI111B479Y,https://isabellalv.pythonanywhere.com/mturkImages/series0003_pos0001_class7_class4.png,https://isabellalv.pythonanywhere.com/mturkImages/series0003_pos0002_class7_class4.png,9 - extremely similar
36G9MO4VB6XPXIOV6LK575FVREWA35,A35CL66BEUSJ5Z,https://isabellalv.pythonanywhere.com/mturkImages/series0003_pos0001_class7_class4.png,https://isabellalv.pythonanywhere.com/mturkImages/series0003_pos0002_class7_class4.png,9 - extremely similar
36G9MO4VB6XPXIOV6LK575FVREWA35,A3DG8M8G0L4DNZ,https://isabellalv.pythonanywhere.com/mturkImages/series0003_pos0001_class7_class4.png,https://isabellalv.pythonanywhere.com/mturkImages/series0003_pos0002_class7_class4.png,9 - extremely similar
36G9MO4VB6XPXIOV6LK575FVREWA35,A3L7Z5BIG3A2YP,https://isabellalv.pythonanywhere.com/mturkImages/series0003_pos0001_class7_class4.png,https://isabellalv.pythonanywhere.com/mturkImages/series0003_pos0002_class7_class4.png,9 - extremely similar
36G9MO4VB6XPXIOV6LK575FVREWA35,ALCPF5NANBDSZ,https://isabellalv.pythonanywhere.com/mturkImages/series0003_pos0001_class7_class4.png,https://isabellalv.pythonanywhere.com/mturkImages/series0003_pos0002_class7_class4.png,8 - very similar
36G9MO4VB6XPXIOV6LK575FVREWA35,ARJ4HIRCZTYFT,https://isabellalv.pythonanywhere.com/mturkImages/series0003_pos0001_class7_class4.png,https://isabellalv.pythonanywhere.com/mturkImages/series0003_pos0002_class7_class4.png,7 - mostly similar
36G9MO4VB6XPXIOV6LK575FVREWA35,AVPX2BDNJ5X4C,https://isabellalv.pythonanywhere.com/mturkImages/series0003_pos0001_class7_class4.png,https://isabellalv.pythonanywhere.com/mturkImages/series0003_pos0002_class7_class4.png,8 - very similar
36G9MO4VB6XPXIOV6LK575FVREWA35,AZG9AKMKU06ZE,https://isabellalv.pythonanywhere.com/mturkImages/series0003_pos0001_class7_class4.png,https://isabellalv.pythonanywhere.com/mturkImages/series0003_pos0002_class7_class4.png,6 - somewhat similar
36G9MO4VB6XPXIOV6LK575FVREWA35,A1U4NCUOBCRDNH,https://isabellalv.pythonanywhere.com/mturkImages/series0001_pos0001_class2_class4.png,https://isabellalv.pythonanywhere.com/mturkImages/series0001_pos0002_class2_class4.png,5 - neither different nor similar
36G9MO4VB6XPXIOV6LK575FVREWA35,A2A4DODAIU2VVM,https://isabellalv.pythonanywhere.com/mturkImages/series0001_pos0001_class2_class4.png,https://isabellalv.pythonanywhere.com/mturkImages/series0001_pos0002_class2_class4.png,7 - mostly similar
36G9MO4VB6XPXIOV6LK575FVREWA35,A2UJMI111B479Y,https://isabellalv.pythonanywhere.com/mturkImages/series0001_pos0001_class2_class4.png,https://isabellalv.pythonanywhere.com/mturkImages/series0001_pos0002_class2_class4.png,5 - neither different nor similar
36G9MO4VB6XPXIOV6LK575FVREWA35,A35CL66BEUSJ5Z,https://isabellalv.pythonanywhere.com/mturkImages/series0001_pos0001_class2_class4.png,https://isabellalv.pythonanywhere.com/mturkImages/series0001_pos0002_class2_class4.png,6 - somewhat similar
36G9MO4VB6XPXIOV6LK575FVREWA35,A3FL4QH97URPLF,https://isabellalv.pythonanywhere.com/mturkImages/series0001_pos0001_class2_class4.png,https://isabellalv.pythonanywhere.com/mturkImages/series0001_pos0002_class2_class4.png,7 - mostly similar
36G9MO4VB6XPXIOV6LK575FVREWA35,A5FOLKO1MT45U,https://isabellalv.pythonanywhere.com/mturkImages/series0001_pos0001_class2_class4.png,https://isabellalv.pythonanywhere.com/mturkImages/series0001_pos0002_class2_class4.png,7 - mostly similar
